,LOAN_ID,PORTFOLIO,DEBT_RATIO,PROFIT_MARGIN,TOTAL_ASSETS,QUICK_RATIO,CURRENT_RATIO,RETURN_ON_EQUITY,PD_RISK_RATING
1,ZZZ0001,C&I,0.113703411,0.795355137,1156188.606,0.090962729,0.963878986,120.6061366,2
2,ZZZ0002,CRE Permanent,0.622299405,0.364232479,NA,0.497839524,0.606212073,109.6217187,4
3,ZZZ0003,CRE Construction,0.609274733,0.821237902,1046682.63,0.487419786,0.29674584,94.52030569,2
4,ZZZ0004,CRE Construction,0.623379442,0.613072648,1085325.47,0.498703553,0.641079381,94.93387132,1
5,ZZZ0005,CRE Construction,0.860915384,0.70922782,1051378.694,0.688732307,0.339429712,106.3318484,2
6,ZZZ0006,C&I,0.640310605,0.198039254,796542.0643,0.512248484,0.046808413,110.1086788,8
7,ZZZ0007,CRE Construction,0.009495756,0.09619984,1019758.277,0.007596605,0.460585694,98.80674747,1
8,ZZZ0008,CRE Construction,0.232550506,0.701470079,1048400.188,0.186040405,0.96207225,99.42403278,1
9,ZZZ0009,CRE Construction,0.666083758,0.222746412,NA,0.532867007,0.394401405,103.8773654,6
10,ZZZ00010,CRE Construction,0.514251141,9.987,NA,0.411400913,0.026673329,107.0369672,2
11,ZZZ00011,CRE Permanent,0.693591292,0.30304824,1125999.206,0.554873033,0.188173324,101.2177504,2
12,ZZZ00012,CRE Permanent,0.544974836,0.305041028,1083436.929,0.435979868,0.161557767,124.5620639,2
13,ZZZ00013,CRE Permanent,0.282733584,0.190098122,944570.0091,0.226186867,0.09205547,99.40759504,5
14,ZZZ00014,CRE Construction,0.923433484,0.619877615,NA,0.738746787,0.779439911,107.4972531,6
15,ZZZ00015,CRE Permanent,0.29231584,0.841010845,834063.7608,0.233852672,0.722913601,92.4380065,4
16,ZZZ00016,CRE Permanent,0.837295628,0.217778605,NA,0.669836503,0.394806847,102.9980312,2
17,ZZZ00017,CRE Permanent,0.286223285,0.580219808,938713.7643,0.228978628,0.600564222,102.3218641,5
18,ZZZ00018,CRE Construction,0.26682078,0.476996723,973747.0628,0.213456624,0.243418777,93.98547446,2
19,ZZZ00019,CRE Construction,0.18672279,0.783613096,862461.0209,0.149378232,0.381373736,112.8488378,4
20,ZZZ00020,C&I,0.232225911,0.989410505,977803.8595,0.185780728,0.373906779,96.75961282,2
21,ZZZ00021,CRE Construction,0.316612455,0.240142207,927609.849,0.253289964,0.730499965,104.6713456,4
22,ZZZ00022,C&I,0.302693371,0.38771854,1049020.76,0.242154697,0.720533602,81.51094798,2
23,ZZZ00023,CRE Permanent,NA,0.573471433,NA,0.127236802,0.246731013,124.1130089,2
24,ZZZ00024,CRE Construction,0.039995918,0.93734443,905350.7496,0.031996734,0.075912055,92.51275891,1
25,ZZZ00025,C&I,0.218799541,0.486835991,994845.3178,0.175039633,0.242596938,99.80527857,2
26,ZZZ00026,C&I,0.810598552,0.75486061,953640.3139,0.648478842,0.886368241,98.97543326,5
27,ZZZ00027,C&I,0.525697547,0.745492116,1035410.285,0.420558037,0.740864909,102.6781767,2
28,ZZZ00028,C&I,0.914658166,0.187038988,959318.8398,0.731726533,0.471109215,92.85414675,7
29,ZZZ00029,C&I,0.831345047,0.189806671,910825.6,0.665076037,0.259880024,79.94904944,7
30,ZZZ00030,C&I,NA,0.356815189,955570.2896,0.036616211,0.46742826,85.02074669,3
31,ZZZ00031,C&I,0.456091482,0.619823306,973606.5159,0.364873186,0.751550548,101.815019,2
32,ZZZ00032,CRE Permanent,0.265186672,0.466374379,1056146.479,0.212149337,0.500574243,91.59098539,1
33,ZZZ00033,C&I,0.304672203,0.624676743,883122.9985,0.243737762,0.822579138,124.7373525,4
34,ZZZ00034,CRE Construction,0.50730687,0.811313892,780195.8416,0.405845496,0.42089507,90.72979198,6
35,ZZZ00035,CRE Permanent,NA,0.662805429,NA,0.144876967,0.39802438,100.4527138,1
36,ZZZ00036,CRE Construction,0.759670635,0.416142331,929045.6827,0.607736508,0.261927937,97.20581864,5
37,ZZZ00037,CRE Construction,0.201248038,0.429069919,915100.8977,0.16099843,0.132056767,91.95017275,5
38,ZZZ00038,CRE Permanent,NA,0.436475571,NA,0.207047855,0.961346937,97.68341927,1
39,ZZZ00039,CRE Permanent,0.992150418,0.009636126,930679.6473,0.793720334,0.565413008,101.8763065,5
40,ZZZ00040,CRE Construction,0.80735234,0.981403709,NA,0.645881872,0.546007676,82.74582335,5
41,ZZZ00041,C&I,NA,0.951416571,1061819.599,0.442666873,0.832400546,107.0280561,2
42,ZZZ00042,C&I,0.646406094,0.27876501,1012511.219,0.517124875,0.7295175,91.80720338,4
43,ZZZ00043,C&I,0.311824307,0.503343957,1039285.945,0.249459446,0.614027866,100.0053545,1
44,ZZZ00044,C&I,0.621819198,0.396118054,NA,0.497455359,0.273406001,105.8296957,4
45,ZZZ00045,C&I,0.329770176,0.805649528,899623.359,0.263816141,0.179557858,87.74016292,3
46,ZZZ00046,CRE Permanent,0.501997473,0.966109625,1005285.742,0.401597978,0.133084898,77.18257541,1
47,ZZZ00047,CRE Permanent,0.677094527,0.437352629,913292.4252,0.541675622,0.970367351,109.9763378,4
48,ZZZ00048,C&I,0.484991239,0.323537979,992085.4904,0.387992991,0.018398894,79.10867776,3
49,ZZZ00049,CRE Construction,0.243928827,0.964966529,992926.2828,0.195143062,0.434530629,93.77231854,2
50,ZZZ00050,CRE Construction,0.765459788,0.121015748,1015689.996,0.61236783,0.014632502,106.994992,5
51,ZZZ00051,CRE Permanent,0.07377988,0.086435493,1157042.99,0.059023904,0.907117911,91.68977843,2
52,ZZZ00052,CRE Permanent,0.309686602,0.598297472,1145005.651,0.247749281,0.797829511,110.4029286,1
53,ZZZ00053,CRE Permanent,0.717271743,0.135804564,837739.1006,0.573817395,0.759657803,103.5773665,5
54,ZZZ00054,CRE Permanent,0.504545912,0.542824262,1008951.393,0.40363673,0.549364854,112.2233249,2
55,ZZZ00055,C&I,0.152998959,0.464368534,1233888.645,0.122399167,0.056269827,98.98816489,1
56,ZZZ00056,CRE Permanent,0.503933488,0.272148713,NA,0.403146791,0.184798273,111.9678838,1
57,ZZZ00057,CRE Permanent,NA,0.532070444,NA,0.395168738,0.65068565,93.35114988,4
58,ZZZ00058,CRE Permanent,0.751200197,0.208713807,1057658.271,0.600960158,0.258566356,85.45637874,1
59,ZZZ00059,C&I,0.174649824,0.698706996,1082308.125,0.139719859,0.934004477,85.15629549,1
60,ZZZ00060,CRE Permanent,0.84839241,0.905193838,1189901.945,0.678713928,0.036428044,109.1288801,1
61,ZZZ00061,C&I,NA,0.444618805,911678.0314,0.691867066,0.847744406,120.0094065,8
62,ZZZ00062,C&I,0.041857275,0.020168493,1022921.542,0.03348582,0.185483101,88.04978136,2
63,ZZZ00063,C&I,0.317182155,0.341625766,NA,0.253745724,0.269368286,94.51149332,2
64,ZZZ00064,CRE Permanent,0.013749939,0.41878476,1225282.804,0.010999951,0.684066611,109.0112926,1
65,ZZZ00065,CRE Construction,0.239025727,0.987866283,NA,0.191220581,0.978167326,108.2223469,2
